id,text,notes,priority,createdAt,updatedAt,type,up,down,counterUp,counterDown
a06ff0ca-57b1-4ad9-8a1f-bfd8525ccfc3,Work on GitHub project ,,1,2025-08-26T17:00:05.171Z,2025-08-26T17:00:05.171Z,habit,True,False,0,0
c87ce76f-a73f-4cfd-ac0d-6db2989eff3e,Saved money in gum fund jar,,1,2025-08-26T16:59:44.837Z,2025-08-26T16:59:44.837Z,habit,True,False,0,0
475951c4-4842-4ea6-a6b1-707a5c642052,Mindless scrolling ,,1,2025-08-26T11:14:50.149Z,2025-08-26T11:14:55.313Z,habit,False,True,0,0
76467e81-bfc3-4043-ae03-f05e271d2dd9,clean my room ,,1,2025-08-26T11:15:36.493Z,2025-08-26T11:15:53.459Z,habit,True,False,0,0
59d30089-03d9-4e40-861c-5c4efee01b82,Use social media during work,,1,2025-08-26T11:14:20.405Z,2025-08-26T11:14:27.214Z,habit,False,True,0,0
4c641281-ce60-45a6-9741-e12293d1e225,Eat junk food,,1,2025-08-26T11:11:54.145Z,2025-08-27T11:38:43.793Z,habit,False,True,0,0
6317f6be-de60-47cb-9c50-fb0c40df1251,100 xp in Duolingo ,,1.5,2025-08-26T11:13:25.715Z,2025-08-27T11:38:43.795Z,habit,True,False,0,0
00985bed-e745-4535-ab05-7a7e6fde35e4,Do pushups until Failure ,,1,2025-08-26T11:10:42.392Z,2025-08-27T11:38:43.791Z,habit,True,False,0,0
1eea6e82-b45b-4b09-b670-634ab4bd5997,2 Litres of water,,1,2025-08-26T11:09:54.584Z,2025-08-27T11:38:43.790Z,habit,True,False,0,0
7f246ebd-dcb6-4ae4-a5cf-253999309e5c,1/5 of your pocket money go to savings,,1,2025-08-26T11:09:33.370Z,2025-08-27T11:38:43.788Z,habit,True,False,0,0
